X,Y,e_max,hsrX,hsrY,velX,velY,vMag,X2Vel,Y2Vel,AzimuthVel,FD_CCW_TN,X2SR,Y2SR,AzimuthSR,SD_CCW_TN
796514.9089,1986407.156,0.000176911,0.969812498,-0.243793163,-0.103732676,0.358040021,0.372793734,796514.8051,1986407.514,343.842,39,796515.8787,1986406.912,104,279
796515.9089,1986402.277,0.000176609,0.969761073,-0.243994484,-0.103305627,0.356848662,0.371532161,796515.8055,1986402.632,343.855,39,796516.8786,1986402.033,104,279
796516.9089,1986397.398,0.000176276,0.96970751,-0.244204033,-0.102872558,0.355623419,0.370236413,796516.806,1986397.753,343.866,39,796517.8786,1986397.153,104,279
796517.9089,1986392.519,0.000175918,0.96965207,-0.244420777,-0.102434332,0.35436858,0.368910835,796517.8064,1986392.872,343.877,39,796518.8785,1986392.274,104,279
796518.9089,1986387.64,0.00017556,0.969596562,-0.244637694,-0.101996605,0.353113983,0.367585586,796518.8069,1986387.993,343.889,39,796519.8784,1986387.395,104,279
796519.9089,1986382.761,0.000175201,0.969540985,-0.244854786,-0.101559378,0.35185963,0.366260668,796519.8073,1986383.112,343.9,39,796520.8784,1986382.516,104,279
796520.9089,1986377.882,0.000174842,0.96948534,-0.245072051,-0.101122651,0.350605519,0.36493608,796520.8077,1986378.232,343.911,39,796521.8783,1986377.636,104,279
796521.9089,1986373.003,0.000174483,0.969429625,-0.24528949,-0.100686423,0.34935165,0.363611823,796521.8082,1986373.352,343.923,39,796522.8783,1986372.757,104,279
796522.9089,1986368.124,0.000174123,0.969373842,-0.245507103,-0.100250696,0.348098024,0.362287895,796522.8086,1986368.472,343.934,39,796523.8782,1986367.878,104,279
796523.9089,1986363.245,0.000173764,0.969317991,-0.245724889,-0.099815468,0.346844641,0.360964297,796523.809,1986363.591,343.945,39,796524.8782,1986362.999,104,279
796524.9089,1986358.366,0.000173404,0.96926207,-0.24594285,-0.09938074,0.345591501,0.35964103,796524.8095,1986358.71,343.957,39,796525.8781,1986358.12,104,279
796525.9089,1986353.487,0.000173044,0.969206081,-0.246160984,-0.098946512,0.344338603,0.358318093,796525.8099,1986353.831,343.968,39,796526.8781,1986353.24,104,279
796526.9089,1986348.608,0.000172684,0.969150023,-0.246379292,-0.098512784,0.343085948,0.356995486,796526.8103,1986348.95,343.979,39,796527.878,1986348.361,104,279
796527.9089,1986343.729,0.000172324,0.969093896,-0.246597774,-0.098079555,0.341833536,0.355673209,796527.8108,1986344.07,343.991,39,796528.8779,1986343.482,104,279
796528.9089,1986338.85,0.000171964,0.969037701,-0.24681643,-0.097646826,0.340581366,0.354351262,796528.8112,1986339.189,344.002,39,796529.8779,1986338.603,104,279
796529.9089,1986333.971,0.000171603,0.968981437,-0.24703526,-0.097214598,0.339329439,0.353029645,796529.8116,1986334.31,344.014,39,796530.8778,1986333.723,104,279
796530.9089,1986329.092,0.000171242,0.968925104,-0.247254263,-0.096782868,0.338077755,0.351708359,796530.8121,1986329.429,344.025,39,796531.8778,1986328.844,104,279
796531.9089,1986324.213,0.000170881,0.968868703,-0.24747344,-0.096351639,0.336826313,0.350387402,796531.8125,1986324.549,344.036,39,796532.8777,1986323.965,104,279
796532.9089,1986319.334,0.00017052,0.968812233,-0.247692791,-0.09592091,0.335575114,0.349066776,796532.8129,1986319.669,344.048,39,796533.8777,1986319.086,104,279
796533.9089,1986314.455,0.000170158,0.968755694,-0.247912316,-0.09549068,0.334324158,0.34774648,796533.8134,1986314.789,344.059,39,796534.8776,1986314.207,104,279
796534.9089,1986309.576,0.000169797,0.968699086,-0.248132015,-0.09506095,0.333073444,0.346426514,796534.8138,1986309.909,344.071,39,796535.8775,1986309.327,104,279
796535.9089,1986304.697,0.000169435,0.96864241,-0.248351888,-0.09463172,0.331822973,0.345106878,796535.8142,1986305.027,344.083,39,796536.8775,1986304.448,104,279
796536.9089,1986299.818,0.000169071,0.96858553,-0.248572438,-0.094202579,0.330570539,0.343785345,796536.8146,1986300.148,344.094,39,796537.8774,1986299.569,104,279
796537.9089,1986294.939,0.00016867,0.968525118,-0.248806136,-0.093763373,0.329261432,0.3424067,796537.8151,1986295.267,344.105,39,796538.8774,1986294.69,104,279
796538.9089,1986290.06,0.000168267,0.968464642,-0.249039968,-0.093324744,0.327952613,0.34102844,796538.8155,1986290.387,344.115,39,796539.8773,1986289.81,104,279
796539.9089,1986285.181,0.000167865,0.968404104,-0.249273932,-0.09288669,0.32664408,0.339650567,796539.816,1986285.507,344.126,39,796540.8773,1986284.931,104,279
796540.9089,1986280.302,0.000167463,0.968343502,-0.249508031,-0.092449212,0.325335835,0.33827308,796540.8164,1986280.627,344.137,39,796541.8772,1986280.052,104,279
796541.9089,1986275.423,0.00016706,0.968282837,-0.249742262,-0.09201231,0.324027876,0.336895979,796541.8168,1986275.747,344.147,39,796542.8771,1986275.173,104,279
796542.9089,1986270.544,0.000166657,0.968222109,-0.249976627,-0.091575984,0.322720205,0.335519263,796542.8173,1986270.865,344.158,39,796543.8771,1986270.294,104,279
796543.9089,1986265.665,0.000166254,0.968161318,-0.250211126,-0.091140234,0.32141282,0.334142935,796543.8177,1986265.986,344.169,39,796544.877,1986265.414,104,279
796544.9089,1986260.786,0.000165851,0.968100463,-0.250445757,-0.09070506,0.320105722,0.332766992,796544.8181,1986261.105,344.179,39,796545.877,1986260.535,105,278
796545.9089,1986255.907,0.000165447,0.968039546,-0.250680522,-0.090270462,0.318798911,0.331391435,796545.8186,1986256.225,344.19,39,796546.8769,1986255.656,105,278
796546.9089,1986251.028,0.000165044,0.967978565,-0.250915421,-0.08983644,0.317492388,0.330016264,796546.819,1986251.345,344.201,39,796547.8768,1986250.777,105,278
796547.9089,1986246.149,0.00016464,0.967917522,-0.251150452,-0.089402994,0.316186151,0.32864148,796547.8194,1986246.465,344.212,39,796548.8768,1986245.897,105,278
796548.9089,1986241.27,0.000164236,0.967856415,-0.251385617,-0.088970123,0.314880201,0.327267081,796548.8199,1986241.584,344.222,39,796549.8767,1986241.018,105,278
796549.9089,1986236.392,0.000163831,0.96779525,-0.251620898,-0.088537886,0.313574787,0.325893325,796549.8203,1986236.705,344.233,39,796550.8766,1986236.14,105,278
796550.9089,1986231.513,0.000163427,0.967734017,-0.251856329,-0.088106167,0.312269411,0.324519698,796550.8207,1986231.825,344.244,39,796551.8766,1986231.261,105,278
796551.9089,1986226.634,0.000163022,0.967672721,-0.252091894,-0.087675025,0.310964322,0.323146458,796551.8212,1986226.943,344.254,39,796552.8765,1986226.381,105,278
